LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	2726672	181074397	3605560	14931148	12.1273	1.0000
phylum	Firmicutes	1239	1361419	86815856	1530686	4359519	19.9141	0.4993
phylum	Bacteroidetes	976	644826	46857026	1394352	2345334	19.9788	0.2365
phylum	Proteobacteria	1224	582467	37088354	549944	2700891	13.7319	0.2136
phylum	Actinobacteria	201174	130806	9920697	125661	5311577	1.8677	0.0480
phylum	Fusobacteria	32066	5833	313272	3963	185438	1.6894	0.0021
phylum	Chlamydiae	204428	654	38509	130	353	109.0907	0.0002
phylum	Spirochaetes	203691	337	23235	387	18419	1.2615	0.0001
phylum	Candidatus Saccharibacteria	95818	137	10053	328	7629	1.3177	0.0001
phylum	Tenericutes	544448	32	1163	0	426	2.7300	0.0000
phylum	Cyanobacteria	1117	25	1391	35	776	1.7925	0.0000
phylum	Chloroflexi	200795	5	155	0	121	1.2810	0.0000
class	Bacilli	91061	966139	57858715	818906	2595508	22.2919	0.3544
class	Bacteroidia	200643	606683	44059236	1336031	1207686	36.4824	0.2225
class	Negativicutes	909932	392624	28799716	708685	1677249	17.1708	0.1440
class	Betaproteobacteria	28216	302444	19835264	296067	1146051	17.3075	0.1109
class	Gammaproteobacteria	1236	250101	15392398	203128	961280	16.0124	0.0917
class	Actinobacteria	1760	130780	9919545	125653	5310839	1.8678	0.0480
class	Flavobacteriia	117743	37684	2772094	57987	1121796	2.4711	0.0138
class	Epsilonproteobacteria	29547	29181	1813706	50321	586898	3.0903	0.0107
class	Fusobacteriia	203490	5833	313272	3963	185438	1.6894	0.0021
class	Clostridia	186801	2302	134205	1926	82813	1.6206	0.0008
class	Alphaproteobacteria	28211	733	46734	428	6478	7.2143	0.0003
class	Chlamydiia	204429	654	38509	130	353	109.0907	0.0002
class	Spirochaetia	203692	337	23235	387	18419	1.2615	0.0001
class	Tissierellia	1737404	328	21896	1134	2944	7.4375	0.0001
class	Cytophagia	768503	206	7020	15	907	7.7398	0.0001
class	Sphingobacteriia	117747	38	1539	17	859	1.7916	0.0000
class	Mollicutes	31969	32	1163	0	426	2.7300	0.0000
class	Erysipelotrichia	526524	26	1324	35	1005	1.3174	0.0000
class	Coriobacteriia	84998	19	936	8	708	1.3220	0.0000
class	Deltaproteobacteria	28221	8	252	0	184	1.3696	0.0000
class	Chloroflexia	32061	3	95	0	92	1.0326	0.0000
order	Bacteroidales	171549	606683	44059236	1336031	1207686	36.4824	0.2226
order	Lactobacillales	186826	585204	35218414	500679	1476363	23.8548	0.2147
