LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	106877	7389414	85534	4951205	1.4924	1.0000
phylum	Actinobacteria	201174	70819	5045544	54711	3445499	1.4644	0.6626
phylum	Firmicutes	1239	21282	1353423	16922	835559	1.6198	0.1991
phylum	Bacteroidetes	976	7897	558831	7169	380577	1.4684	0.0739
phylum	Proteobacteria	1224	5389	334152	5025	224245	1.4901	0.0504
phylum	Spirochaetes	203691	887	62533	1276	42987	1.4547	0.0083
phylum	Fusobacteria	32066	531	30040	268	18960	1.5844	0.0050
phylum	Candidatus Saccharibacteria	95818	63	4438	162	2972	1.4933	0.0006
phylum	Tenericutes	544448	5	238	1	195	1.2205	0.0000
class	Actinobacteria	1760	70650	5035826	54491	3438535	1.4645	0.6645
class	Bacilli	91061	15737	979458	11693	599963	1.6325	0.1480
class	Bacteroidia	200643	6999	495107	6094	339165	1.4598	0.0658
class	Negativicutes	909932	2825	183048	2551	114399	1.6001	0.0266
class	Betaproteobacteria	28216	2586	161784	2128	112650	1.4362	0.0243
class	Clostridia	186801	2431	170846	2413	109123	1.5656	0.0229
class	Gammaproteobacteria	1236	1936	114680	1622	70174	1.6342	0.0182
class	Spirochaetia	203692	887	62533	1276	42987	1.4547	0.0083
class	Epsilonproteobacteria	29547	755	51196	1186	36938	1.3860	0.0071
class	Fusobacteriia	203490	531	30040	268	18960	1.5844	0.0050
class	Flavobacteriia	117743	412	27272	375	17721	1.5390	0.0039
class	Erysipelotrichia	526524	187	13886	200	8384	1.6562	0.0018
class	Coriobacteriia	84998	169	9718	220	6964	1.3955	0.0016
class	Alphaproteobacteria	28211	109	6393	89	4419	1.4467	0.0010
class	Tissierellia	1737404	102	6185	65	3690	1.6762	0.0010
class	Mollicutes	31969	5	238	1	195	1.2205	0.0000
class	Deltaproteobacteria	28221	3	99	0	64	1.5469	0.0000
order	Micrococcales	85006	45185	3343414	35148	2320767	1.4407	0.4251
order	Corynebacteriales	85007	13334	979753	11742	640117	1.5306	0.1254
order	Actinomycetales	2037	11961	701949	7468	468721	1.4976	0.1125
order	Lactobacillales	186826	11890	740369	9045	464727	1.5931	0.1119
order	Bacteroidales	171549	6999	495107	6094	339165	1.4598	0.0658
order	Bacillales	1385	3847	239089	2648	135236	1.7679	0.0362
order	Clostridiales	186802	2431	170846	2413	109123	1.5656	0.0229
order	Burkholderiales	80840	2114	132947	1754	92390	1.4390	0.0199
order	Veillonellales	1843489	2017	131499	1898	78355	1.6782	0.0190
order	Pasteurellales	135625	1722	101764	1410	61689	1.6496	0.0162
order	Spirochaetales	136	887	62533	1276	42987	1.4547	0.0083
order	Selenomonadales	909929	808	51549	653	36044	1.4302	0.0076
order	Campylobacterales	213849	755	51196	1186	36938	1.3860	0.0071
order	Fusobacteriales	203491	531	30040	268	18960	1.5844	0.0050
order	Flavobacteriales	200644	412	27272	375	17721	1.5390	0.0039
order	Neisseriales	206351	367	22315	306	15414	1.4477	0.0035
order	Erysipelotrichales	526525	187	13886	200	8384	1.6562	0.0018
order	Propionibacteriales	85009	164	10509	132	8764	1.1991	0.0015
order	Coriobacteriales	84999	158	9063	214	6524	1.3892	0.0015
order	Pseudomonadales	72274	112	7261	127	4770	1.5222	0.0011
order	Tissierellales	1737405	102	6185	65	3690	1.6762	0.0010
order	Rhodocyclales	206389	100	6193	61	4558	1.3587	0.0009
order	Rhodobacterales	204455	86	5442	85	3850	1.4135	0.0008
order	Cardiobacteriales	135615	54	3254	53	2076	1.5674	0.0005
order	Enterobacteriales	91347	22	1112	26	734	1.5150	0.0002
order	Sphingomonadales	204457	18	654	4	351	1.8632	0.0002
order	Xanthomonadales	135614	14	840	4	528	1.5909	0.0001
order	Eggerthellales	1643822	11	655	6	440	1.4886	0.0001
order	Mycoplasmatales	2085	4	208	1	166	1.2530	0.0000
order	Oceanospirillales	135619	4	124	0	60	2.0667	0.0000
order	Hydrogenophilales	119069	3	129	2	90	1.4333	0.0000
order	Vibrionales	135623	3	101	1	98	1.0306	0.0000
family	Micrococcaceae	1268	44952	3329397	34953	2311571	1.4403	0.4384
family	Corynebacteriaceae	1653	13321	979273	11740	639855	1.5305	0.1299
family	Actinomycetaceae	2049	11961	701949	7468	468721	1.4976	0.1166
family	Streptococcaceae	1300	11081	685911	8183	429555	1.5968	0.1081
family	Prevotellaceae	171552	6696	473178	5795	323079	1.4646	0.0653
family	Lachnospiraceae	186803	2115	148006	2217	96266	1.5375	0.0206
family	Veillonellaceae	31977	2017	131499	1898	78355	1.6782	0.0197
family	Pasteurellaceae	712	1722	101764	1410	61689	1.6496	0.0168
family	Burkholderiaceae	119060	1541	96606	1251	67397	1.4334	0.0150
family	Spirochaetaceae	137	887	62533	1276	42987	1.4547	0.0087
family	Selenomonadaceae	1843491	808	51549	653	36044	1.4302	0.0079
family	Campylobacteraceae	72294	754	51161	1186	36904	1.3863	0.0074
family	Comamonadaceae	80864	569	36122	495	24778	1.4578	0.0055
family	Carnobacteriaceae	186828	430	26659	324	17363	1.5354	0.0042
family	Flavobacteriaceae	49546	412	27272	375	17721	1.5390	0.0040
family	Leptotrichiaceae	1129771	376	21252	195	13915	1.5273	0.0037
family	Neisseriaceae	481	362	22031	303	15135	1.4556	0.0035
family	Aerococcaceae	186827	299	22612	487	14240	1.5879	0.0029
family	Porphyromonadaceae	171551	287	20764	283	15351	1.3526	0.0028
family	Erysipelotrichaceae	128827	187	13886	200	8384	1.6562	0.0018
family	Eubacteriaceae	186806	177	12747	97	7164	1.7793	0.0017
family	Propionibacteriaceae	31957	163	10449	129	8705	1.2003	0.0016
family	Fusobacteriaceae	203492	155	8788	73	5045	1.7419	0.0015
family	Atopobiaceae	1643824	155	8958	213	6422	1.3949	0.0015
family	Sanguibacteraceae	145360	145	8947	147	5792	1.5447	0.0014
family	Peptoniphilaceae	1570339	102	6185	65	3690	1.6762	0.0010
family	Rhodocyclaceae	75787	100	6193	61	4558	1.3587	0.0010
family	Rhodobacteraceae	31989	85	5412	85	3821	1.4164	0.0008
family	Peptostreptococcaceae	186804	82	6273	58	3788	1.6560	0.0008
family	Promicromonosporaceae	85017	80	4558	39	3076	1.4818	0.0008
family	Listeriaceae	186820	66	4597	12	3012	1.5262	0.0006
family	Lactobacillaceae	33958	64	4311	47	2996	1.4389	0.0006
family	Pseudomonadaceae	135621	59	3555	59	2340	1.5192	0.0006
family	Cardiobacteriaceae	868	54	3254	53	2076	1.5674	0.0005
family	Moraxellaceae	468	53	3706	68	2430	1.5251	0.0005
family	Staphylococcaceae	90964	35	1635	21	1012	1.6156	0.0003
family	Clostridiales Family XIII. Incertae Sedis	543314	35	2769	33	1223	2.2641	0.0003
family	Enterobacteriaceae	543	22	1112	26	734	1.5150	0.0002
family	Xanthomonadaceae	32033	14	840	4	528	1.5909	0.0001
family	Ruminococcaceae	541000	13	702	6	464	1.5129	0.0001
family	Eggerthellaceae	1643826	11	655	6	440	1.4886	0.0001
family	Leuconostocaceae	81850	11	717	4	480	1.4937	0.0001
family	Bacteroidaceae	815	9	633	11	440	1.4386	0.0001
family	Sphingomonadaceae	41297	9	347	0	242	1.4339	0.0001
family	Erythrobacteraceae	335929	9	307	4	109	2.8165	0.0001
family	Rikenellaceae	171550	7	532	5	295	1.8034	0.0001
family	Mycobacteriaceae	1762	7	235	0	135	1.7407	0.0001
family	Chromobacteriaceae	1499392	5	284	3	279	1.0179	0.0000
family	Clostridiaceae	31979	5	225	2	188	1.1968	0.0000
family	Enterococcaceae	81852	5	159	0	93	1.7097	0.0000
family	Williamsiaceae	182102	4	137	0	71	1.9296	0.0000
family	Mycoplasmataceae	2092	4	208	1	166	1.2530	0.0000
family	Dermacoccaceae	145357	4	209	4	152	1.3750	0.0000
family	Hydrogenophilaceae	206349	3	129	2	90	1.4333	0.0000
family	Vibrionaceae	641	3	101	1	98	1.0306	0.0000
family	Alcaligenaceae	506	3	174	8	171	1.0175	0.0000
family	Coriobacteriaceae	84107	3	105	1	102	1.0294	0.0000
genus	Rothia	32207	44951	3329316	34945	2311491	1.4403	0.4235
genus	Corynebacterium	1716	13321	979273	11740	639855	1.5305	0.1255
genus	Actinomyces	1654	11622	680476	7303	453711	1.4998	0.1095
genus	Streptococcus	1301	11081	685911	8183	429555	1.5968	0.1044
genus	Prevotella	838	6463	456304	5404	312910	1.4583	0.0609
genus	Gemella	1378	3703	231379	2615	131147	1.7643	0.0349
genus	Veillonella	29465	1625	101856	1473	60859	1.6736	0.0153
genus	Lautropia	47670	1534	96271	1249	67153	1.4336	0.0145
genus	Haemophilus	724	1506	86667	1208	52364	1.6551	0.0142
genus	Oribacterium	265975	946	67849	986	44130	1.5375	0.0089
genus	Treponema	157	887	62533	1276	42987	1.4547	0.0084
genus	Campylobacter	194	754	51161	1186	36904	1.3863	0.0071
genus	Stomatobaculum	1213720	687	49460	942	32960	1.5006	0.0065
genus	Selenomonas	970	658	42235	502	29645	1.4247	0.0062
genus	Lachnoanaerobaculum	1164882	410	25999	212	15912	1.6339	0.0039
genus	Carnobacterium	2747	407	25322	300	16485	1.5361	0.0038
genus	Ottowia	219181	393	25648	314	17261	1.4859	0.0037
genus	Capnocytophaga	1016	392	26191	365	16948	1.5454	0.0037
genus	Leptotrichia	32067	376	21252	195	13915	1.5273	0.0035
