LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	181070	12643955	38538	3993653	3.1660	1.0000
phylum	Firmicutes	1239	173600	12090049	34373	3511249	3.4432	0.9588
phylum	Actinobacteria	201174	5129	404476	2967	361676	1.1183	0.0283
phylum	Proteobacteria	1224	2162	138161	1106	110744	1.2476	0.0119
phylum	Tenericutes	544448	93	4979	6	4637	1.0738	0.0005
phylum	Bacteroidetes	976	71	5461	76	4732	1.1541	0.0004
phylum	Spirochaetes	203691	8	389	1	285	1.3649	0.0000
class	Bacilli	91061	173384	12075948	34145	3499489	3.4508	0.9576
class	Actinobacteria	1760	5128	404444	2967	361645	1.1183	0.0283
class	Gammaproteobacteria	1236	1634	106375	790	81382	1.3071	0.0090
class	Betaproteobacteria	28216	304	18159	157	16746	1.0844	0.0017
class	Alphaproteobacteria	28211	219	13414	157	12437	1.0786	0.0012
class	Tissierellia	1737404	188	12209	217	10104	1.2083	0.0010
class	Mollicutes	31969	93	4979	6	4637	1.0738	0.0005
class	Bacteroidia	200643	70	5399	76	4671	1.1559	0.0004
class	Clostridia	186801	24	1555	6	1323	1.1754	0.0001
class	Spirochaetia	203692	8	389	1	285	1.3649	0.0000
class	Epsilonproteobacteria	29547	4	181	2	148	1.2230	0.0000
class	Negativicutes	909932	4	337	5	333	1.0120	0.0000
order	Lactobacillales	186826	173373	12075252	34136	3498948	3.4511	0.9576
order	Bifidobacteriales	85004	4582	372933	2679	332717	1.1209	0.0253
order	Pseudomonadales	72274	1516	99842	694	75113	1.3292	0.0084
order	Corynebacteriales	85007	511	29527	274	26979	1.0944	0.0028
order	Burkholderiales	80840	300	17997	157	16620	1.0829	0.0017
order	Sphingomonadales	204457	207	12540	141	11724	1.0696	0.0011
order	Tissierellales	1737405	188	12209	217	10104	1.2083	0.0010
order	Xanthomonadales	135614	113	6130	91	5959	1.0287	0.0006
order	Mycoplasmatales	2085	93	4979	6	4637	1.0738	0.0005
order	Bacteroidales	171549	70	5399	76	4671	1.1559	0.0004
order	Clostridiales	186802	24	1555	6	1323	1.1754	0.0001
order	Propionibacteriales	85009	22	1304	1	1282	1.0172	0.0001
order	Bacillales	1385	11	696	9	541	1.2865	0.0001
order	Actinomycetales	2037	10	503	6	493	1.0203	0.0001
order	Rhizobiales	356	9	682	13	524	1.3015	0.0000
order	Spirochaetales	136	8	389	1	285	1.3649	0.0000
order	Veillonellales	1843489	4	337	5	333	1.0120	0.0000
order	Neisseriales	206351	4	162	0	126	1.2857	0.0000
order	Campylobacterales	213849	4	181	2	148	1.2230	0.0000
