LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	79207	5063662	25056	1766258	2.8669	1.0000
phylum	Firmicutes	1239	75438	4815029	21989	1582714	3.0423	0.9525
phylum	Proteobacteria	1224	2502	161322	1298	119855	1.3460	0.0316
phylum	Actinobacteria	201174	739	49792	1150	30695	1.6222	0.0093
phylum	Bacteroidetes	976	473	35528	615	32445	1.0950	0.0060
phylum	Spirochaetes	203691	47	1636	4	202	8.0990	0.0006
phylum	Tenericutes	544448	5	225	0	220	1.0227	0.0001
class	Bacilli	91061	74289	4743178	20722	1527420	3.1054	0.9380
class	Gammaproteobacteria	1236	1940	128798	957	91421	1.4088	0.0245
class	Actinobacteria	1760	725	48835	1140	29810	1.6382	0.0092
class	Clostridia	186801	715	45716	955	37881	1.2068	0.0090
class	Bacteroidia	200643	471	35369	615	32329	1.0940	0.0059
class	Tissierellia	1737404	422	25156	302	16603	1.5151	0.0053
class	Betaproteobacteria	28216	326	19377	202	17285	1.1210	0.0041
class	Alphaproteobacteria	28211	210	11627	122	9877	1.1772	0.0027
class	Spirochaetia	203692	47	1636	4	202	8.0990	0.0006
class	Epsilonproteobacteria	29547	24	1456	17	1241	1.1732	0.0003
class	Coriobacteriia	84998	14	957	10	885	1.0814	0.0002
class	Negativicutes	909932	7	588	6	427	1.3770	0.0001
class	Erysipelotrichia	526524	5	391	4	383	1.0209	0.0001
class	Mollicutes	31969	5	225	0	220	1.0227	0.0001
order	Lactobacillales	186826	74261	4741797	20716	1526263	3.1068	0.9395
order	Pseudomonadales	72274	1917	127680	948	90326	1.4135	0.0243
order	Clostridiales	186802	713	45606	953	37827	1.2056	0.0090
order	Bacteroidales	171549	471	35369	615	32329	1.0940	0.0060
order	Corynebacteriales	85007	346	19824	238	18322	1.0820	0.0044
order	Burkholderiales	80840	324	19290	202	17200	1.1215	0.0041
order	Bifidobacteriales	85004	302	23791	828	6499	3.6607	0.0038
order	Tissierellales	1737405	270	14552	173	7577	1.9205	0.0034
order	Sphingomonadales	204457	125	7181	72	6545	1.0972	0.0016
order	Rhizobiales	356	65	3137	28	2337	1.3423	0.0008
order	Spirochaetales	136	47	1636	4	202	8.0990	0.0006
order	Micrococcales	85006	35	2200	32	2093	1.0511	0.0004
order	Bacillales	1385	28	1381	6	1157	1.1936	0.0004
order	Campylobacterales	213849	24	1456	17	1241	1.1732	0.0003
order	Propionibacteriales	85009	21	1535	6	1474	1.0414	0.0003
order	Actinomycetales	2037	21	1485	36	1422	1.0443	0.0003
order	Xanthomonadales	135614	16	751	7	735	1.0218	0.0002
order	Rhodobacterales	204455	16	1135	19	855	1.3275	0.0002
order	Coriobacteriales	84999	14	957	10	885	1.0814	0.0002
order	Veillonellales	1843489	7	588	6	427	1.3770	0.0001
order	Mycoplasmatales	2085	5	225	0	220	1.0227	0.0001
order	Erysipelotrichales	526525	5	391	4	383	1.0209	0.0001
order	Caulobacterales	204458	4	174	3	140	1.2429	0.0001
order	Enterobacteriales	91347	4	266	2	262	1.0153	0.0001
family	Lactobacillaceae	33958	74110	4734054	20646	1524885	3.1045	0.9406
family	Pseudomonadaceae	135621	1844	123350	914	86967	1.4184	0.0234
