LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	866653	61484072	876991	30031108	2.0473	1.0000
phylum	Firmicutes	1239	340539	23788058	352558	8883417	2.6778	0.3929
phylum	Bacteroidetes	976	252990	18857150	245834	10271063	1.8359	0.2919
phylum	Actinobacteria	201174	178178	12883087	158091	7931071	1.6244	0.2056
phylum	Proteobacteria	1224	75158	4689300	89750	2437501	1.9238	0.0867
phylum	Candidatus Saccharibacteria	95818	9569	646799	20793	85131	7.5977	0.0110
phylum	Fusobacteria	32066	6954	396378	5877	254281	1.5588	0.0080
phylum	Spirochaetes	203691	2987	207962	4007	158901	1.3088	0.0034
phylum	Tenericutes	544448	228	12820	56	8083	1.5860	0.0003
phylum	Verrucomicrobia	74201	10	611	7	520	1.1750	0.0000
phylum	Cyanobacteria	1117	8	245	0	179	1.3687	0.0000
phylum	Chlamydiae	204428	6	398	5	243	1.6379	0.0000
phylum	Synergistetes	508458	6	200	1	104	1.9231	0.0000
class	Bacteroidia	200643	246697	18394620	237723	9946185	1.8494	0.2883
class	Actinobacteria	1760	165936	12134227	144970	7625218	1.5913	0.1939
class	Negativicutes	909932	156376	10965820	153060	3228026	3.3971	0.1828
class	Clostridia	186801	111032	8097840	136713	2791268	2.9011	0.1298
class	Bacilli	91061	68316	4375107	54156	2621466	1.6690	0.0798
class	Epsilonproteobacteria	29547	44428	2783572	60612	1227660	2.2674	0.0519
class	Gammaproteobacteria	1236	22334	1371638	21453	830146	1.6523	0.0261
class	Coriobacteriia	84998	12241	748830	13121	305824	2.4486	0.0143
class	Betaproteobacteria	28216	8320	530362	7647	377396	1.4053	0.0097
class	Fusobacteriia	203490	6954	396378	5877	254281	1.5588	0.0081
class	Flavobacteriia	117743	4864	350692	6038	246527	1.4225	0.0057
class	Erysipelotrichia	526524	3883	293928	8203	205340	1.4314	0.0045
class	Spirochaetia	203692	2987	207962	4007	158901	1.3088	0.0035
class	Tissierellia	1737404	928	55243	426	37288	1.4815	0.0011
class	Mollicutes	31969	228	12820	56	8083	1.5860	0.0003
class	Alphaproteobacteria	28211	66	3306	30	2002	1.6513	0.0001
class	Cytophagia	768503	20	608	0	118	5.1525	0.0000
class	Sphingobacteriia	117747	13	459	6	306	1.5000	0.0000
class	Verrucomicrobiae	203494	10	611	7	520	1.1750	0.0000
class	Deltaproteobacteria	28221	10	422	8	297	1.4209	0.0000
class	Synergistia	649775	6	200	1	104	1.9231	0.0000
class	Chlamydiia	204429	6	398	5	243	1.6379	0.0000
order	Bacteroidales	171549	246697	18394620	237723	9946185	1.8494	0.2883
order	Veillonellales	1843489	144848	10215768	140147	2740605	3.7276	0.1693
order	Clostridiales	186802	111021	8097451	136713	2791016	2.9013	0.1298
order	Micrococcales	85006	98674	7393682	71191	4811878	1.5365	0.1153
order	Actinomycetales	2037	58951	4113240	66608	2321840	1.7715	0.0689
order	Lactobacillales	186826	56009	3514454	47278	2035838	1.7263	0.0655
order	Campylobacterales	213849	44428	2783572	60612	1227660	2.2674	0.0519
