LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	216891	35806996	252265	12067232	2.9673	1.0000
phylum	Bacteroidetes	976	204160	33238874	223636	10034565	3.3124	0.9414
phylum	Proteobacteria	1224	6680	1630937	14734	1190508	1.3700	0.0308
phylum	Firmicutes	1239	5809	905767	13409	812696	1.1145	0.0268
phylum	Actinobacteria	201174	217	29663	429	27857	1.0648	0.0010
phylum	Verrucomicrobia	74201	9	1053	54	1014	1.0385	0.0000
phylum	Cyanobacteria	1117	3	95	0	61	1.5574	0.0000
class	Bacteroidia	200643	204152	33238623	223636	10034410	3.3125	0.9414
class	Betaproteobacteria	28216	6347	1596770	14304	1158693	1.3781	0.0293
class	Clostridia	186801	5483	864379	12518	774630	1.1159	0.0253
class	Deltaproteobacteria	28221	306	31116	400	29308	1.0617	0.0014
class	Erysipelotrichia	526524	247	35634	702	32794	1.0866	0.0011
class	Actinobacteria	1760	117	17290	110	17150	1.0082	0.0005
class	Coriobacteriia	84998	100	12373	319	10707	1.1556	0.0005
class	Bacilli	91061	33	2663	46	2450	1.0869	0.0002
class	Negativicutes	909932	23	1277	35	1214	1.0519	0.0001
class	Gammaproteobacteria	1236	20	2835	30	2354	1.2043	0.0001
class	Verrucomicrobiae	203494	9	1053	54	1014	1.0385	0.0000
class	Alphaproteobacteria	28211	7	216	0	153	1.4118	0.0000
class	Flavobacteriia	117743	5	156	0	93	1.6774	0.0000
order	Bacteroidales	171549	204152	33238623	223636	10034410	3.3125	0.9419
order	Burkholderiales	80840	6347	1596770	14304	1158693	1.3781	0.0293
order	Clostridiales	186802	5374	848099	12308	758501	1.1181	0.0248
order	Desulfovibrionales	213115	303	31024	400	29219	1.0618	0.0014
order	Erysipelotrichales	526525	247	35634	702	32794	1.0866	0.0011
order	Bifidobacteriales	85004	114	16859	105	16722	1.0082	0.0005
order	Coriobacteriales	84999	91	11162	312	9592	1.1637	0.0004
order	Lactobacillales	186826	28	2471	44	2263	1.0919	0.0001
order	Enterobacteriales	91347	19	2805	30	2325	1.2065	0.0001
order	Acidaminococcales	1843488	17	960	34	903	1.0631	0.0001
order	Eggerthellales	1643822	9	1211	7	1115	1.0861	0.0000
order	Verrucomicrobiales	48461	9	1053	54	1014	1.0385	0.0000
order	Veillonellales	1843489	5	287	1	282	1.0177	0.0000
order	Bacillales	1385	5	192	2	187	1.0267	0.0000
order	Flavobacteriales	200644	5	156	0	93	1.6774	0.0000
order	Rhizobiales	356	5	155	0	94	1.6489	0.0000
order	Desulfobacterales	213118	3	92	0	89	1.0337	0.0000
order	Actinomycetales	2037	3	431	5	428	1.0070	0.0000
family	Bacteroidaceae	815	153814	23669660	132358	5273461	4.4884	0.7107
family	Porphyromonadaceae	171551	31452	6043786	54134	3230420	1.8709	0.1453
family	Rikenellaceae	171550	18688	3506798	36466	1525402	2.2989	0.0864
family	Sutterellaceae	995019	6345	1596513	14291	1158438	1.3782	0.0293
family	Lachnospiraceae	186803	2552	405504	5958	355935	1.1393	0.0118
family	Ruminococcaceae	541000	1189	189469	3543	178199	1.0632	0.0055
family	Clostridiaceae	31979	676	101275	967	95095	1.0650	0.0031
family	Oscillospiraceae	216572	579	96460	609	79675	1.2107	0.0027
family	Desulfovibrionaceae	194924	303	31024	400	29219	1.0618	0.0014
family	Erysipelotrichaceae	128827	247	35634	702	32794	1.0866	0.0011
family	Prevotellaceae	171552	194	18232	677	5015	3.6355	0.0009
family	Bifidobacteriaceae	31953	114	16859	105	16722	1.0082	0.0005
family	Coriobacteriaceae	84107	91	11162	312	9592	1.1637	0.0004
family	Eubacteriaceae	186806	58	5688	160	5475	1.0389	0.0003
family	Enterobacteriaceae	543	19	2805	30	2325	1.2065	0.0001
family	Peptostreptococcaceae	186804	18	2690	61	2672	1.0067	0.0001
family	Acidaminococcaceae	909930	17	960	34	903	1.0631	0.0001
family	Streptococcaceae	1300	15	1263	10	1248	1.0120	0.0001
family	Eggerthellaceae	1643826	9	1211	7	1115	1.0861	0.0000
family	Lactobacillaceae	33958	7	462	0	423	1.0922	0.0000
family	Akkermansiaceae	1647988	7	991	54	984	1.0071	0.0000
family	Enterococcaceae	81852	6	746	34	592	1.2601	0.0000
family	Veillonellaceae	31977	5	287	1	282	1.0177	0.0000
family	Flavobacteriaceae	49546	5	156	0	93	1.6774	0.0000
family	Actinomycetaceae	2049	3	431	5	428	1.0070	0.0000
genus	Bacteroides	816	153808	23669411	132350	5273385	4.4885	0.7173
genus	Barnesiella	397864	19005	4202319	48058	1810278	2.3214	0.0886
genus	Alistipes	239759	18682	3505916	36429	1525113	2.2988	0.0871
genus	Parabacteroides	375288	8653	1119744	2872	825307	1.3568	0.0404
genus	Sutterella	40544	6344	1596361	14272	1158287	1.3782	0.0296
genus	Odoribacter	283168	3344	674403	2412	570283	1.1826	0.0156
genus	Faecalibacterium	216851	638	113218	2357	105085	1.0774	0.0030
genus	Clostridium	1485	626	94405	727	88635	1.0651	0.0029
genus	Roseburia	841	414	66926	735	63648	1.0515	0.0019
genus	Blautia	572511	368	45053	482	41452	1.0869	0.0017
genus	Ruminococcus	1263	354	46420	579	44560	1.0417	0.0017
genus	Bilophila	35832	301	30954	400	29185	1.0606	0.0014
genus	Tannerella	195950	261	30022	222	12898	2.3276	0.0012
genus	Prevotella	838	156	15820	599	4217	3.7515	0.0007
genus	Dorea	189330	126	18418	285	17729	1.0389	0.0006
genus	Coprobacter	1348911	118	9699	228	7490	1.2949	0.0006
genus	Bifidobacterium	1678	114	16859	105	16722	1.0082	0.0005
genus	Lachnoclostridium	1506553	111	13886	221	13071	1.0624	0.0005
genus	Intestinimonas	1392389	109	17136	493	16027	1.0692	0.0005
genus	Holdemania	61170	109	20127	465	17945	1.1216	0.0005
genus	Collinsella	102106	89	11093	312	9525	1.1646	0.0004
genus	Dielma	1472649	77	8284	129	7965	1.0401	0.0004
genus	Ruminiclostridium	1508657	73	13756	118	13683	1.0053	0.0003
genus	Eubacterium	1730	58	5688	160	5475	1.0389	0.0003
genus	Oscillibacter	459786	48	3421	171	3190	1.0724	0.0002
genus	Flavonifractor	946234	40	5038	83	4968	1.0141	0.0002
genus	Paraprevotella	577309	38	2412	78	798	3.0226	0.0002
genus	Pseudoflavonifractor	1017280	35	4065	112	2973	1.3673	0.0002
genus	Butyricicoccus	580596	30	4764	197	4445	1.0718	0.0001
genus	Butyricimonas	574697	27	4123	179	1910	2.1586	0.0001
genus	Subdoligranulum	292632	27	3132	102	2916	1.0741	0.0001
genus	Anaerotruncus	244127	21	3581	160	3338	1.0728	0.0001
genus	Porphyromonas	836	21	2160	106	1868	1.1563	0.0001
genus	Hungatella	1649459	19	1989	41	1899	1.0474	0.0001
genus	Sanguibacteroides	1635148	16	1076	55	276	3.8986	0.0001
genus	Phascolarctobacterium	33024	16	926	34	870	1.0644	0.0001
genus	Escherichia	561	15	2246	23	1948	1.1530	0.0001
genus	Tyzzerella	1506577	15	1566	54	1432	1.0936	0.0001
genus	Peptoclostridium	1481960	13	1648	43	1635	1.0080	0.0001
genus	Catonella	43996	8	1182	39	1045	1.1311	0.0000
genus	Streptococcus	1301	8	479	3	471	1.0170	0.0000
genus	Akkermansia	239934	7	991	54	984	1.0071	0.0000
genus	Eggerthella	84111	7	752	1	658	1.1429	0.0000
genus	Lactococcus	1357	7	784	7	777	1.0090	0.0000
genus	Enterococcus	1350	6	746	34	592	1.2601	0.0000
genus	Coprobacillus	100883	6	650	13	644	1.0093	0.0000
genus	Coprococcus	33042	6	577	19	498	1.1586	0.0000
genus	Rikenella	28138	6	882	37	289	3.0519	0.0000
genus	Peptostreptococcus	1257	5	1042	18	1037	1.0048	0.0000
genus	Veillonella	29465	4	252	1	248	1.0161	0.0000
genus	Marvinbryantia	248744	4	213	5	209	1.0191	0.0000
genus	Salmonella	590	3	528	7	347	1.5216	0.0000
genus	Sharpea	519427	3	99	0	64	1.5469	0.0000
genus	Butyrivibrio	830	3	468	14	465	1.0065	0.0000
genus	Lactobacillus	1578	3	332	0	329	1.0091	0.0000
genus	Actinomyces	1654	3	431	5	428	1.0070	0.0000
genus	Oribacterium	265975	3	111	2	108	1.0278	0.0000
genus	Lachnospira	28050	3	174	7	128	1.3594	0.0000
genus	Anaerostipes	207244	3	304	7	301	1.0100	0.0000
species	Bacteroides massiliensis	204516	99414	16628680	104214	3181199	5.2272	0.4589
species	Bacteroides ovatus	28116	21155	2792782	4122	825290	3.3840	0.0976
species	Barnesiella intestinihominis	487174	18963	4200293	48026	1809593	2.3211	0.0875
species	Alistipes putredinis	28117	14417	2932663	30117	1097089	2.6731	0.0665
species	Bacteroides uniformis	820	13792	1879250	4838	586057	3.2066	0.0637
species	Bacteroides vulgatus	821	10751	1413116	4362	311218	4.5406	0.0496
species	Parabacteroides merdae	46503	7340	951594	2482	735430	1.2939	0.0339
species	Sutterella wadsworthensis	40545	6343	1596330	14272	1158257	1.3782	0.0293
species	Bacteroides thetaiotaomicron	818	3426	362858	2157	220259	1.6474	0.0158
species	Odoribacter splanchnicus	28118	3247	669619	2344	569701	1.1754	0.0150
species	Alistipes shahii	328814	2870	402660	2542	311113	1.2943	0.0132
species	Bacteroides fragilis	817	1031	121461	3176	41010	2.9617	0.0048
species	[Eubacterium] rectale	39491	960	166730	2154	152988	1.0898	0.0044
species	Parabacteroides distasonis	823	928	126354	244	75391	1.6760	0.0043
species	Faecalibacterium prausnitzii	853	638	113218	2357	105085	1.0774	0.0029
species	Oscillospiraceae bacterium VE202-24	1232459	531	93039	438	76485	1.2164	0.0025
species	Alistipes obesi	1118061	468	64970	2639	38168	1.7022	0.0022
species	Bacteroides sp. 1_1_6	469586	452	38882	112	14463	2.6884	0.0021
species	Clostridium sp. GD3	1650661	444	67911	487	64334	1.0556	0.0020
species	Lachnospiraceae bacterium 7_1_58FAA	658087	440	79645	1866	53674	1.4839	0.0020
species	Bacteroides finegoldii	338188	425	81334	2971	11915	6.8262	0.0020
species	Bacteroides caccae	47678	397	45907	140	7227	6.3522	0.0018
species	Roseburia faecis	301302	371	61516	677	58575	1.0502	0.0017
species	Alistipes finegoldii	214856	349	48947	281	38751	1.2631	0.0016
species	Parabacteroides sp. 20_3	469591	315	37062	98	12292	3.0151	0.0015
species	Ruminococcus faecis	592978	294	40439	538	38717	1.0445	0.0014
species	Bacteroides intestinalis	329854	284	33903	231	5321	6.3715	0.0013
species	Bacteroides sp. 3_1_40A	469593	270	23478	498	2209	10.6283	0.0012
species	Tannerella sp. 6_1_58FAA_CT1	665949	260	29990	222	12867	2.3308	0.0012
species	Bacteroides dorei	357276	251	27185	884	8546	3.1810	0.0012
species	Bilophila sp. 4_1_30	693988	222	21303	160	19939	1.0684	0.0010
species	Bacteroides sartorii	671267	209	22639	385	4022	5.6288	0.0010
species	Alistipes sp. HGB5	908612	207	21871	118	17564	1.2452	0.0010
species	Bacteroides sp. 2_2_4	469590	163	24895	156	4348	5.7256	0.0008
species	Bacteroides cellulosilyticus	246787	141	18948	151	3686	5.1405	0.0007
species	Clostridium sp. ATCC BAA-442	649724	132	20232	37	18144	1.1151	0.0006
species	Bacteroides sp. 4_3_47FAA	457394	124	8835	41	1623	5.4436	0.0006
species	Blautia wexlerae	418240	120	13096	120	12111	1.0813	0.0006
species	Bacteroides coprophilus	387090	120	12210	507	3763	3.2448	0.0006
species	Bacteroides sp. 9_1_42FAA	457395	118	12944	71	3641	3.5551	0.0005
species	Alistipes senegalensis	1288121	116	8497	221	5330	1.5942	0.0005
species	Bacteroides sp. 3_1_33FAA	457391	114	10940	200	1718	6.3679	0.0005
species	Alistipes onderdonkii	328813	113	15955	119	11847	1.3468	0.0005
species	Dorea longicatena	88431	110	16951	255	16369	1.0356	0.0005
species	Holdemania filiformis	61171	108	19954	459	17773	1.1227	0.0005
species	Coprobacter fastidiosus	1099853	105	8400	172	6730	1.2481	0.0005
