LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	1408718	102285026	1330146	41904239	2.4409	1.0000
phylum	Actinobacteria	201174	504463	37539840	381382	14406416	2.6058	0.3581
phylum	Bacteroidetes	976	445575	33293809	454289	13900331	2.3952	0.3163
phylum	Spirochaetes	203691	240610	16862746	296470	5078928	3.3201	0.1708
phylum	Proteobacteria	1224	105802	7014792	121975	4305419	1.6293	0.0751
phylum	Firmicutes	1239	94741	6569937	63645	3673950	1.7882	0.0673
phylum	Fusobacteria	32066	13101	709548	7951	354115	2.0037	0.0093
phylum	Candidatus Saccharibacteria	95818	2271	174133	3816	113441	1.5350	0.0016
phylum	Tenericutes	544448	1932	111227	461	66761	1.6660	0.0014
phylum	Synergistetes	508458	84	3939	106	2728	1.4439	0.0001
phylum	Cyanobacteria	1117	41	1255	1	514	2.4416	0.0000
phylum	Chloroflexi	200795	21	854	12	326	2.6196	0.0000
phylum	Fibrobacteres	65842	20	636	0	62	10.2581	0.0000
phylum	Chlorobi	1090	11	394	5	196	2.0102	0.0000
phylum	Nitrospirae	40117	8	537	16	194	2.7680	0.0000
phylum	Acidobacteria	57723	6	186	0	60	3.1000	0.0000
phylum	Thermotogae	200918	4	124	0	91	1.3626	0.0000
phylum	Chlamydiae	204428	4	194	10	159	1.2201	0.0000
phylum	Verrucomicrobia	74201	3	92	0	89	1.0337	0.0000
phylum	Chrysiogenetes	200938	3	196	5	105	1.8667	0.0000
class	Actinobacteria	1760	504216	37522745	381138	14392728	2.6071	0.3923
class	Bacteroidia	200643	245160	18071289	195503	9729203	1.8574	0.1907
class	Spirochaetia	203692	240610	16862746	296470	5078928	3.3201	0.1872
class	Flavobacteriia	117743	79285	5594607	85921	2792581	2.0034	0.0617
class	Clostridia	186801	51129	3744743	32931	1710938	2.1887	0.0398
class	Betaproteobacteria	28216	39692	2532641	38085	1434097	1.7660	0.0309
class	Gammaproteobacteria	1236	34846	2327084	34972	1429646	1.6277	0.0271
class	Epsilonproteobacteria	29547	30803	2126539	48570	1425304	1.4920	0.0240
class	Bacilli	91061	21168	1403458	12696	1048492	1.3385	0.0165
class	Fusobacteriia	203490	13101	709548	7951	354115	2.0037	0.0102
class	Negativicutes	909932	11581	787208	12458	589687	1.3350	0.0090
class	Tissierellia	1737404	10088	575169	5110	280438	2.0510	0.0078
class	Mollicutes	31969	1932	111227	461	66761	1.6660	0.0015
class	Erysipelotrichia	526524	775	59359	450	44395	1.3371	0.0006
class	Alphaproteobacteria	28211	397	25966	291	15179	1.7107	0.0003
class	Coriobacteriia	84998	246	17063	244	13657	1.2494	0.0002
class	Synergistia	649775	84	3939	106	2728	1.4439	0.0001
class	Deltaproteobacteria	28221	58	2306	47	1130	2.0407	0.0000
class	Sphingobacteriia	117747	36	1231	3	656	1.8765	0.0000
class	Fibrobacteria	204430	20	636	0	62	10.2581	0.0000
class	Cytophagia	768503	18	570	2	369	1.5447	0.0000
class	Chlorobia	191410	11	394	5	196	2.0102	0.0000
class	Dehalococcoidia	301297	10	478	12	201	2.3781	0.0000
class	Chloroflexia	32061	10	345	0	95	3.6316	0.0000
class	Nitrospira	203693	8	537	16	194	2.7680	0.0000
class	Acidithiobacillia	1807140	6	256	10	63	4.0635	0.0000
class	Chlamydiia	204429	4	194	10	159	1.2201	0.0000
class	Thermotogae	188708	4	124	0	91	1.3626	0.0000
class	Chrysiogenetes	118001	3	196	5	105	1.8667	0.0000
order	Bacteroidales	171549	245160	18071289	195503	9729203	1.8574	0.1907
order	Spirochaetales	136	240596	16862104	296462	5078627	3.3202	0.1872
order	Micrococcales	85006	232586	18342909	193179	6180645	2.9678	0.1810
order	Corynebacteriales	85007	155798	11920359	132179	3626146	3.2873	0.1212
order	Actinomycetales	2037	104718	6535469	44893	4073690	1.6043	0.0815
order	Flavobacteriales	200644	79282	5594501	85919	2792515	2.0034	0.0617
order	Clostridiales	186802	51121	3744487	32931	1710721	2.1888	0.0398
order	Campylobacterales	213849	30803	2126539	48570	1425304	1.4920	0.0240
order	Burkholderiales	80840	23577	1523807	22833	861171	1.7695	0.0183
order	Pasteurellales	135625	21279	1423837	13570	918243	1.5506	0.0166
order	Lactobacillales	186826	16955	1140616	9070	866383	1.3165	0.0132
order	Neisseriales	206351	16077	1007383	15237	572002	1.7612	0.0125
order	Cardiobacteriales	135615	13296	892682	21308	505965	1.7643	0.0103
order	Fusobacteriales	203491	13101	709548	7951	354115	2.0037	0.0102
order	Propionibacteriales	85009	11075	722220	10853	511033	1.4133	0.0086
order	Tissierellales	1737405	10078	574626	5103	280157	2.0511	0.0078
order	Selenomonadales	909929	7636	499245	8676	374844	1.3319	0.0059
order	Bacillales	1385	4213	262842	3626	182109	1.4433	0.0033
order	Veillonellales	1843489	3942	287859	3780	214771	1.3403	0.0031
order	Mycoplasmatales	2085	1931	111197	461	66732	1.6663	0.0015
order	Erysipelotrichales	526525	775	59359	450	44395	1.3371	0.0006
order	Sphingomonadales	204457	244	17021	251	7682	2.2157	0.0002
order	Coriobacteriales	84999	224	15290	220	12314	1.2417	0.0002
order	Rhizobiales	356	123	7771	31	6621	1.1737	0.0001
order	Pseudomonadales	72274	89	3813	42	2289	1.6658	0.0001
order	Synergistales	649776	84	3939	106	2728	1.4439	0.0001
order	Sphingobacteriales	200666	36	1231	3	656	1.8765	0.0000
order	Xanthomonadales	135614	33	1084	3	444	2.4414	0.0000
order	Enterobacteriales	91347	30	1063	6	543	1.9576	0.0000
order	Alteromonadales	135622	24	1020	5	460	2.2174	0.0000
order	Desulfobacterales	213118	23	1159	46	486	2.3848	0.0000
order	Rhodocyclales	206389	22	952	15	710	1.3408	0.0000
order	Eggerthellales	1643822	22	1773	24	1343	1.3202	0.0000
order	Fibrobacterales	218872	20	636	0	62	10.2581	0.0000
order	Vibrionales	135623	20	656	1	159	4.1258	0.0000
order	Rhodobacterales	204455	18	717	5	520	1.3788	0.0000
order	Bifidobacteriales	85004	18	1061	27	793	1.3380	0.0000
order	Cytophagales	768507	18	570	2	369	1.5447	0.0000
order	Chromatiales	135613	15	915	25	646	1.4164	0.0000
order	Chroococcales	1118	14	438	1	161	2.7205	0.0000
order	Oceanospirillales	135619	14	467	2	229	2.0393	0.0000
order	Nostocales	1161	12	362	0	88	4.1136	0.0000
order	Chlorobiales	191411	11	394	5	196	2.0102	0.0000
order	Micromonosporales	85008	10	320	0	123	2.6016	0.0000
order	Rhodospirillales	204441	10	341	4	242	1.4091	0.0000
order	Desulfovibrionales	213115	10	324	0	224	1.4464	0.0000
order	Desulfuromonadales	69541	9	292	0	128	2.2812	0.0000
order	Orbales	1240482	8	282	6	101	2.7921	0.0000
order	Nitrospirales	189778	8	537	16	194	2.7680	0.0000
order	Oscillatoriales	1150	7	212	0	147	1.4422	0.0000
order	Syntrophobacterales	213462	7	242	0	103	2.3495	0.0000
order	Acidithiobacillales	225057	6	256	10	63	4.0635	0.0000
order	Methylococcales	135618	6	225	2	110	2.0455	0.0000
order	Prochlorales	1212	6	183	0	89	2.0562	0.0000
order	Cellvibrionales	1706369	6	198	0	64	3.0938	0.0000
order	Ferrovales	1442155	6	183	0	61	3.0000	0.0000
order	Thermoanaerobacterales	68295	5	162	0	157	1.0318	0.0000
order	Thiotrichales	72273	5	166	0	95	1.7474	0.0000
order	Aeromonadales	135624	5	179	2	81	2.2099	0.0000
order	Chlamydiales	51291	4	194	10	159	1.2201	0.0000
order	Streptosporangiales	85012	4	127	0	62	2.0484	0.0000
order	Desulfarculales	453227	4	130	0	64	2.0312	0.0000
order	Chrysiogenales	189769	3	196	5	105	1.8667	0.0000
order	Acidaminococcales	1843488	3	104	2	72	1.4444	0.0000
order	Streptomycetales	85011	3	93	0	90	1.0333	0.0000
family	Spirochaetaceae	137	240596	16862104	296462	5078627	3.3202	0.1877
family	Micrococcaceae	1268	232509	18339129	193056	6178751	2.9681	0.1814
family	Corynebacteriaceae	1653	155791	11920113	132177	3625938	3.2875	0.1216
family	Prevotellaceae	171552	146817	10255675	131789	5216357	1.9661	0.1146
family	Actinomycetaceae	2049	104718	6535469	44893	4073690	1.6043	0.0817
family	Porphyromonadaceae	171551	98125	7803548	63629	4504229	1.7325	0.0766
family	Flavobacteriaceae	49546	79281	5594471	85919	2792486	2.0034	0.0619
family	Eubacteriaceae	186806	31499	2370728	16379	804675	2.9462	0.0246
family	Campylobacteraceae	72294	30770	2124855	48534	1424086	1.4921	0.0240
family	Pasteurellaceae	712	21279	1423837	13570	918243	1.5506	0.0166
family	Streptococcaceae	1300	16252	1092784	8157	832615	1.3125	0.0127
family	Neisseriaceae	481	16066	1006949	15223	571803	1.7610	0.0125
family	Lachnospiraceae	186803	13323	948989	12645	632098	1.5013	0.0104
family	Cardiobacteriaceae	868	13296	892682	21308	505965	1.7643	0.0104
family	Burkholderiaceae	119060	12597	794146	14498	392670	2.0224	0.0098
family	Propionibacteriaceae	31957	11075	722220	10853	511033	1.4133	0.0086
family	Comamonadaceae	80864	10939	727708	8309	467422	1.5569	0.0085
family	Fusobacteriaceae	203492	10843	573776	6341	253218	2.2659	0.0085
family	Peptoniphilaceae	1570339	10078	574626	5103	280157	2.0511	0.0079
family	Selenomonadaceae	1843491	7632	499088	8674	374730	1.3319	0.0060
family	Peptostreptococcaceae	186804	5399	361991	3411	230432	1.5709	0.0042
family	Veillonellaceae	31977	3942	287859	3780	214771	1.3403	0.0031
family	Leptotrichiaceae	1129771	2258	135772	1610	100897	1.3456	0.0018
family	Mycoplasmataceae	2092	1931	111197	461	66732	1.6663	0.0015
family	Clostridiales Family XIII. Incertae Sedis	543314	785	57558	451	39962	1.4403	0.0006
family	Erysipelotrichaceae	128827	775	59359	450	44395	1.3371	0.0006
family	Staphylococcaceae	90964	567	32723	212	23357	1.4010	0.0004
family	Carnobacteriaceae	186828	434	28773	563	21148	1.3606	0.0003
family	Atopobiaceae	1643824	219	15113	219	12200	1.2388	0.0002
family	Erythrobacteraceae	335929	190	13726	213	4731	2.9013	0.0001
family	Aerococcaceae	186827	180	14076	288	11388	1.2360	0.0001
family	Bacteroidaceae	815	150	9022	59	6620	1.3628	0.0001
family	Bradyrhizobiaceae	41294	99	6815	25	6018	1.1324	0.0001
family	Lactobacillaceae	33958	85	4847	61	1131	4.2856	0.0001
family	Synergistaceae	649777	84	3939	106	2728	1.4439	0.0001
family	Pseudomonadaceae	135621	78	3130	34	1617	1.9357	0.0001
family	Ruminococcaceae	541000	57	3080	26	2202	1.3987	0.0000
family	Rikenellaceae	171550	56	2629	24	1681	1.5640	0.0000
family	Sphingomonadaceae	41297	54	3295	38	2951	1.1166	0.0000
family	Helicobacteraceae	72293	33	1684	36	1218	1.3826	0.0000
family	Bacillaceae	186817	33	1183	9	590	2.0051	0.0000
