LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	7026483	518707447	7213922	89928426	5.7680	1.0000
phylum	Actinobacteria	201174	4108545	317007485	4255128	26092393	12.1494	0.5847
phylum	Bacteroidetes	976	1309172	94131928	1302474	26391194	3.5668	0.1863
phylum	Proteobacteria	1224	643174	44267577	760812	11018801	4.0175	0.0915
phylum	Firmicutes	1239	457222	29891801	338512	13583004	2.2007	0.0651
phylum	Spirochaetes	203691	283821	20750042	412076	9109465	2.2779	0.0404
phylum	Fusobacteria	32066	203850	11272279	111494	3338614	3.3763	0.0290
phylum	Candidatus Saccharibacteria	95818	15300	1088715	31928	249658	4.3608	0.0022
phylum	Tenericutes	544448	5087	285494	1330	139763	2.0427	0.0007
phylum	Synergistetes	508458	59	2418	41	1718	1.4075	0.0000
phylum	Chlorobi	1090	21	663	0	313	2.1182	0.0000
phylum	Chloroflexi	200795	21	745	9	331	2.2508	0.0000
phylum	Deinococcus-Thermus	1297	20	847	19	141	6.0071	0.0000
phylum	Nitrospirae	40117	19	572	0	89	6.4270	0.0000
phylum	Cyanobacteria	1117	18	574	2	467	1.2291	0.0000
phylum	Verrucomicrobia	74201	17	597	9	273	2.1868	0.0000
phylum	Planctomycetes	203682	8	249	0	179	1.3911	0.0000
phylum	Acidobacteria	57723	5	157	0	121	1.2975	0.0000
phylum	Chlamydiae	204428	4	195	4	160	1.2188	0.0000
phylum	Elusimicrobia	74152	3	95	0	92	1.0326	0.0000
phylum	Thermotogae	200918	3	97	0	94	1.0319	0.0000
class	Actinobacteria	1760	4101522	316476265	4245311	25687965	12.3200	0.5894
class	Flavobacteriia	117743	676721	47600169	742355	6912013	6.8866	0.0972
class	Bacteroidia	200643	580198	42447127	491587	18188293	2.3338	0.0834
class	Betaproteobacteria	28216	407668	28329438	434871	4085381	6.9343	0.0586
class	Spirochaetia	203692	283821	20750042	412076	9109465	2.2779	0.0408
class	Fusobacteriia	203490	203850	11272279	111494	3338614	3.3763	0.0293
class	Bacilli	91061	159319	9536183	112957	3041302	3.1356	0.0229
class	Negativicutes	909932	151002	10290828	107407	4369632	2.3551	0.0217
class	Epsilonproteobacteria	29547	130005	8927501	214754	4262469	2.0944	0.0187
class	Clostridia	186801	125294	8711798	109232	5360799	1.6251	0.0180
class	Gammaproteobacteria	1236	105035	6986386	110906	2658444	2.6280	0.0151
