LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	85620	5818989	76450	3724100	1.5625	1.0000
phylum	Proteobacteria	1224	29108	1814374	15719	721343	2.5153	0.3400
phylum	Firmicutes	1239	19661	1311094	21670	940232	1.3944	0.2296
phylum	Bacteroidetes	976	18106	1349224	18096	993768	1.3577	0.2115
phylum	Actinobacteria	201174	16377	1204844	18274	969652	1.2426	0.1913
phylum	Fusobacteria	32066	1730	97850	1474	72762	1.3448	0.0202
phylum	Candidatus Saccharibacteria	95818	441	30178	1037	18433	1.6372	0.0052
phylum	Spirochaetes	203691	181	10637	178	7415	1.4345	0.0021
phylum	Tenericutes	544448	5	270	1	197	1.3706	0.0001
phylum	Chlamydiae	204428	4	244	0	60	4.0667	0.0000
class	Betaproteobacteria	28216	21998	1379790	9827	478037	2.8864	0.2584
class	Bacteroidia	200643	17771	1325216	17712	975936	1.3579	0.2088
class	Actinobacteria	1760	16084	1185997	17947	956013	1.2406	0.1889
class	Bacilli	91061	9083	562754	8532	412043	1.3658	0.1067
class	Negativicutes	909932	6271	434823	6788	294223	1.4779	0.0737
class	Gammaproteobacteria	1236	5996	362268	4358	186181	1.9458	0.0704
class	Clostridia	186801	3738	271245	5011	201763	1.3444	0.0439
class	Fusobacteriia	203490	1730	97850	1474	72762	1.3448	0.0203
class	Epsilonproteobacteria	29547	983	63713	1460	50076	1.2723	0.0115
class	Erysipelotrichia	526524	492	37778	1281	28715	1.3156	0.0058
class	Coriobacteriia	84998	293	18847	327	13639	1.3818	0.0034
class	Flavobacteriia	117743	291	20626	326	15298	1.3483	0.0034
class	Spirochaetia	203692	181	10637	178	7415	1.4345	0.0021
class	Alphaproteobacteria	28211	130	8508	70	6955	1.2233	0.0015
class	Tissierellia	1737404	77	4494	58	3488	1.2884	0.0009
class	Mollicutes	31969	5	270	1	197	1.3706	0.0001
class	Chlamydiia	204429	4	244	0	60	4.0667	0.0000
order	Neisseriales	206351	21869	1371379	9680	470674	2.9136	0.2570
order	Bacteroidales	171549	17771	1325216	17712	975936	1.3579	0.2088
order	Actinomycetales	2037	7667	544592	10533	411764	1.3226	0.0901
order	Micrococcales	85006	7650	583402	6715	496983	1.1739	0.0899
order	Lactobacillales	186826	6748	414119	6655	303836	1.3630	0.0793
order	Veillonellales	1843489	6208	431099	6718	291275	1.4800	0.0730
order	Pasteurellales	135625	5741	345029	4179	171759	2.0088	0.0675
order	Clostridiales	186802	3736	271185	5011	201705	1.3445	0.0439
order	Bacillales	1385	2335	148635	1877	108207	1.3736	0.0274
order	Fusobacteriales	203491	1730	97850	1474	72762	1.3448	0.0203
