LEVEL	NAME	TAXID	READ_COUNT	TOTAL_BP_MAPPED	TOTAL_BP_MISMATCH	LINEAR_LENGTH	LINEAR_DOC	REL_ABUNDANCE
superkingdom	Bacteria	2	6666065	415211613	6123736	39520274	10.5063	1.0000
phylum	Bacteroidetes	976	2844502	185177282	2679031	11140947	16.6213	0.4267
phylum	Firmicutes	1239	1639112	102130143	1590916	10794697	9.4611	0.2459
phylum	Proteobacteria	1224	1067061	60877032	927575	3819881	15.9369	0.1601
phylum	Fusobacteria	32066	551163	30176469	411147	1575842	19.1494	0.0827
phylum	Actinobacteria	201174	541422	35434436	477117	11967447	2.9609	0.0812
phylum	Candidatus Saccharibacteria	95818	19756	1235402	34913	80888	15.2730	0.0030
phylum	Spirochaetes	203691	2249	146691	2580	132168	1.1099	0.0003
phylum	Tenericutes	544448	149	7805	78	6291	1.2407	0.0000
phylum	Cyanobacteria	1117	84	2566	0	271	9.4686	0.0000
phylum	Chlamydiae	204428	29	1533	25	601	2.5507	0.0000
phylum	Verrucomicrobia	74201	19	633	2	103	6.1456	0.0000
phylum	Chloroflexi	200795	11	365	0	92	3.9674	0.0000
phylum	Chlorobi	1090	8	264	2	107	2.4673	0.0000
phylum	Synergistetes	508458	3	96	0	93	1.0323	0.0000
phylum	Thermotogae	200918	3	92	0	89	1.0337	0.0000
class	Bacteroidia	200643	2824380	183850271	2658293	10149677	18.1139	0.4251
class	Gammaproteobacteria	1236	990045	56202636	847050	2200745	25.5380	0.1490
class	Negativicutes	909932	848857	52917377	793449	1643362	32.2007	0.1278
class	Fusobacteriia	203490	551163	30176469	411147	1575842	19.1494	0.0830
class	Actinobacteria	1760	536936	35157089	471938	11746855	2.9929	0.0808
class	Bacilli	91061	504321	30728978	422641	3833509	8.0159	0.0759
class	Clostridia	186801	230453	14784073	257848	4337832	3.4082	0.0347
class	Erysipelotrichia	526524	45054	3155541	105903	911736	3.4610	0.0068
class	Betaproteobacteria	28216	39760	2421295	33905	544674	4.4454	0.0060
class	Epsilonproteobacteria	29547	37067	2247126	46599	1073085	2.0941	0.0056
class	Flavobacteriia	117743	18052	1188749	18727	873952	1.3602	0.0027
class	Tissierellia	1737404	10421	543992	11075	68198	7.9767	0.0016
class	Coriobacteriia	84998	4484	277287	5179	220534	1.2573	0.0007
class	Spirochaetia	203692	2249	146691	2580	132168	1.1099	0.0003
class	Cytophagia	768503	194	6323	19	1177	5.3721	0.0000
class	Alphaproteobacteria	28211	157	4988	21	917	5.4395	0.0000
class	Mollicutes	31969	149	7805	78	6291	1.2407	0.0000
class	Sphingobacteriia	117747	85	2768	0	595	4.6521	0.0000
class	Deltaproteobacteria	28221	31	955	0	429	2.2261	0.0000
class	Chlamydiia	204429	29	1533	25	601	2.5507	0.0000
class	Verrucomicrobiae	203494	19	633	2	103	6.1456	0.0000
class	Chlorobia	191410	8	264	2	107	2.4673	0.0000
class	Thermotogae	188708	3	92	0	89	1.0337	0.0000
class	Synergistia	649775	3	96	0	93	1.0323	0.0000
order	Bacteroidales	171549	2824380	183850271	2658293	10149677	18.1139	0.4251
order	Pasteurellales	135625	987866	56129068	846861	2185613	25.6812	0.1487
order	Veillonellales	1843489	848002	52864347	792767	1593875	33.1672	0.1276
order	Fusobacteriales	203491	551163	30176469	411147	1575842	19.1494	0.0830
order	Micrococcales	85006	302967	20793588	218425	7802246	2.6651	0.0456
order	Lactobacillales	186826	270662	16032221	255503	2380975	6.7335	0.0407
order	Bacillales	1385	233659	14696757	167138	1452534	10.1180	0.0352
order	Clostridiales	186802	230447	14783887	257848	4337682	3.4082	0.0347
order	Actinomycetales	2037	225210	13763546	245581	3420173	4.0242	0.0339
order	Erysipelotrichales	526525	45054	3155541	105903	911736	3.4610	0.0068
order	Campylobacterales	213849	37066	2247095	46599	1073055	2.0941	0.0056
order	Neisseriales	206351	35864	2183471	30519	349848	6.2412	0.0054
order	Flavobacteriales	200644	18051	1188716	18727	873920	1.3602	0.0027
order	Tissierellales	1737405	10406	543319	11068	67664	8.0297	0.0016
order	Corynebacteriales	85007	6146	422376	5017	375012	1.1263	0.0009
order	Coriobacteriales	84999	4141	252168	4938	197270	1.2783	0.0006
order	Burkholderiales	80840	3876	237120	3384	194374	1.2199	0.0006
order	Spirochaetales	136	2248	146652	2579	132130	1.1099	0.0003
order	Bifidobacteriales	85004	1961	138542	2214	119444	1.1599	0.0003
order	Alteromonadales	135622	930	28642	8	1250	22.9136	0.0001
order	Selenomonadales	909929	847	52502	656	49301	1.0649	0.0001
order	Propionibacteriales	85009	643	38759	701	29772	1.3019	0.0001
order	Pseudomonadales	72274	510	17152	17	2058	8.3343	0.0001
order	Vibrionales	135623	377	12084	6	800	15.1050	0.0001
order	Eggerthellales	1643822	343	25119	241	23264	1.0797	0.0001
order	Cytophagales	768507	194	6323	19	1177	5.3721	0.0000
order	Cardiobacteriales	135615	142	8540	132	7984	1.0696	0.0000
order	Mycoplasmatales	2085	134	7340	76	6167	1.1902	0.0000
order	Rhizobiales	356	115	3451	0	204	16.9167	0.0000
order	Sphingobacteriales	200666	85	2768	0	595	4.6521	0.0000
order	Enterobacteriales	91347	80	2622	17	1324	1.9804	0.0000
order	Chroococcales	1118	67	2040	0	182	11.2088	0.0000
order	Orbales	1240482	36	1184	1	290	4.0828	0.0000
order	Chlamydiales	51291	29	1533	25	601	2.5507	0.0000
order	Aeromonadales	135624	23	769	4	165	4.6606	0.0000
order	Methylococcales	135618	22	672	0	91	7.3846	0.0000
order	Oceanospirillales	135619	19	608	1	439	1.3850	0.0000
order	Verrucomicrobiales	48461	19	633	2	103	6.1456	0.0000
order	Thiotrichales	72273	18	579	1	221	2.6199	0.0000
order	Legionellales	118969	14	443	0	245	1.8082	0.0000
order	Acholeplasmatales	186329	13	391	0	88	4.4432	0.0000
order	Rickettsiales	766	11	345	2	102	3.3824	0.0000
order	Rhodobacterales	204455	11	332	0	118	2.8136	0.0000
order	Bdellovibrionales	213481	10	308	0	124	2.4839	0.0000
order	Sphingomonadales	204457	9	450	13	325	1.3846	0.0000
order	Desulfobacterales	213118	9	274	0	89	3.0787	0.0000
order	Acidaminococcales	1843488	8	528	26	186	2.8387	0.0000
order	Chlorobiales	191411	8	264	2	107	2.4673	0.0000
order	Desulfovibrionales	213115	6	182	0	89	2.0449	0.0000
order	Thermoanaerobacterales	68295	5	156	0	121	1.2893	0.0000
order	Rhodocyclales	206389	5	216	1	211	1.0237	0.0000
order	Geodermatophilales	1643682	4	126	0	61	2.0656	0.0000
order	Cellvibrionales	1706369	4	124	0	120	1.0333	0.0000
order	Thermotogales	2419	3	92	0	89	1.0337	0.0000
order	Synergistales	649776	3	96	0	93	1.0323	0.0000
order	Streptomycetales	85011	3	91	0	88	1.0341	0.0000
family	Prevotellaceae	171552	2236103	148244602	2070753	9505420	15.5958	0.3487
family	Pasteurellaceae	712	987866	56129068	846861	2185613	25.6812	0.1541
family	Veillonellaceae	31977	848002	52864347	792767	1593875	33.1672	0.1322
family	Porphyromonadaceae	171551	587630	35576053	587177	630482	56.4268	0.0916
family	Fusobacteriaceae	203492	492232	26750697	363061	938419	28.5061	0.0768
family	Micrococcaceae	1268	288572	19962898	202576	7696843	2.5936	0.0450
family	Streptococcaceae	1300	228978	13546667	220653	1812412	7.4744	0.0357
family	Actinomycetaceae	2049	225210	13763546	245581	3420173	4.0242	0.0351
family	Lachnospiraceae	186803	178881	11422179	186625	3134927	3.6435	0.0279
family	Leptotrichiaceae	1129771	58931	3425772	48086	637423	5.3744	0.0092
family	Erysipelotrichaceae	128827	45054	3155541	105903	911736	3.4610	0.0070
family	Carnobacteriaceae	186828	39140	2321519	31568	444559	5.2221	0.0061
family	Campylobacteraceae	72294	37050	2246613	46599	1072821	2.0941	0.0058
family	Neisseriaceae	481	35853	2183141	30519	349761	6.2418	0.0056
family	Clostridiales Family XIII. Incertae Sedis	543314	26774	1855438	31021	918358	2.0204	0.0042
family	Peptostreptococcaceae	186804	23379	1430201	39182	243326	5.8777	0.0036
family	Flavobacteriaceae	49546	18051	1188716	18727	873920	1.3602	0.0028
family	Peptoniphilaceae	1570339	10406	543319	11068	67664	8.0297	0.0016
family	Sanguibacteraceae	145360	7522	426491	7466	55396	7.6989	0.0012
family	Corynebacteriaceae	1653	6077	420263	5015	374652	1.1217	0.0009
family	Promicromonosporaceae	85017	5801	345837	6934	42507	8.1360	0.0009
family	Atopobiaceae	1643824	4114	250821	4902	196867	1.2741	0.0006
family	Burkholderiaceae	119060	3601	222021	2829	189906	1.1691	0.0006
family	Spirochaetaceae	137	2248	146652	2579	132130	1.1099	0.0004
family	Staphylococcaceae	90964	2075	115208	1992	63737	1.8076	0.0003
family	Bifidobacteriaceae	31953	1961	138542	2214	119444	1.1599	0.0003
family	Aerococcaceae	186827	1895	135564	3116	116573	1.1629	0.0003
family	Dermacoccaceae	145357	846	46413	1129	5367	8.6478	0.0001
family	Selenomonadaceae	1843491	832	51915	646	49130	1.0567	0.0001
family	Propionibacteriaceae	31957	643	38759	701	29772	1.3019	0.0001
family	Eubacteriaceae	186806	561	34994	475	25503	1.3722	0.0001
family	Alteromonadaceae	72275	550	16587	7	493	33.6450	0.0001
family	Moraxellaceae	468	508	17083	17	1991	8.5801	0.0001
family	Lactobacillaceae	33958	481	23055	163	5887	3.9163	0.0001
family	Bacteroidaceae	815	479	21300	177	11778	1.8085	0.0001
family	Ruminococcaceae	541000	477	28230	431	11318	2.4943	0.0001
family	Vibrionaceae	641	377	12084	6	800	15.1050	0.0001
family	Eggerthellaceae	1643826	343	25119	241	23264	1.0797	0.0001
family	Moritellaceae	267891	343	10920	0	152	71.8421	0.0001
family	Clostridiaceae	31979	281	9469	67	2899	3.2663	0.0000
family	Comamonadaceae	80864	246	13023	530	2663	4.8903	0.0000
family	Bacillaceae	186817	236	7413	15	1608	4.6101	0.0000
family	Cellulomonadaceae	85016	185	10414	297	1604	6.4925	0.0000
family	Cytophagaceae	89373	161	5128	0	857	5.9837	0.0000
family	Cardiobacteriaceae	868	142	8540	132	7984	1.0696	0.0000
family	Mycoplasmataceae	2092	134	7340	76	6167	1.1902	0.0000
family	Enterococcaceae	81852	87	2912	3	1244	2.3408	0.0000
family	Paenibacillaceae	186822	81	2457	2	404	6.0817	0.0000
family	Leuconostocaceae	81850	81	2504	0	300	8.3467	0.0000
family	Enterobacteriaceae	543	80	2622	17	1324	1.9804	0.0000
family	Sphingobacteriaceae	84566	78	2541	0	440	5.7750	0.0000
family	Rikenellaceae	171550	44	2411	28	1448	1.6651	0.0000
family	Prolixibacteraceae	1471398	43	1362	2	129	10.5581	0.0000
family	Orbaceae	1240483	36	1184	1	290	4.0828	0.0000
family	Peptococcaceae	186807	35	1134	8	371	3.0566	0.0000
family	Chlamydiaceae	809	28	1503	25	572	2.6276	0.0000
family	Coriobacteriaceae	84107	27	1347	36	403	3.3424	0.0000
family	Sutterellaceae	995019	26	1884	22	1673	1.1261	0.0000
family	Microbacteriaceae	85023	23	840	10	258	3.2558	0.0000
family	Methylococcaceae	403	22	672	0	91	7.3846	0.0000
family	Aeromonadaceae	84642	21	703	4	101	6.9604	0.0000
family	Shewanellaceae	267890	20	603	0	148	4.0743	0.0000
family	Mycobacteriaceae	1762	18	575	1	207	2.7778	0.0000
family	Flammeovirgaceae	200667	17	627	13	154	4.0714	0.0000
family	Helicobacteraceae	72293	16	482	0	234	2.0598	0.0000
family	Cyclobacteriaceae	563798	16	568	6	166	3.4217	0.0000
family	Verrucomicrobiaceae	203557	16	518	0	61	8.4918	0.0000
family	Sporomusaceae	1843490	15	587	10	171	3.4327	0.0000
family	Dermabacteraceae	85020	14	523	9	175	2.9886	0.0000
family	Oceanospirillaceae	135620	14	454	1	320	1.4187	0.0000
family	Legionellaceae	444	13	412	0	215	1.9163	0.0000
family	Listeriaceae	186820	13	416	0	155	2.6839	0.0000
family	Acholeplasmataceae	2146	13	391	0	88	4.4432	0.0000
family	Chromobacteriaceae	1499392	11	330	0	87	3.7931	0.0000
family	Anaplasmataceae	942	11	345	2	102	3.3824	0.0000
family	Desulfobulbaceae	213121	9	274	0	89	3.0787	0.0000
family	Bdellovibrionaceae	213483	9	275	0	92	2.9891	0.0000
family	Erythrobacteraceae	335929	8	409	13	285	1.4351	0.0000
family	Chlorobiaceae	191412	8	264	2	107	2.4673	0.0000
family	Francisellaceae	34064	8	258	0	61	4.2295	0.0000
family	Thiotrichaceae	135617	8	252	0	93	2.7097	0.0000
family	Acidaminococcaceae	909930	8	528	26	186	2.8387	0.0000
family	Planococcaceae	186818	7	225	0	187	1.2032	0.0000
family	Pseudoalteromonadaceae	267888	7	218	0	182	1.1978	0.0000
family	Chitinophagaceae	563835	6	197	0	126	1.5635	0.0000
family	Desulfovibrionaceae	194924	6	182	0	89	2.0449	0.0000
family	Rhodocyclaceae	75787	5	216	1	211	1.0237	0.0000
family	Nocardiaceae	85025	5	150	0	87	1.7241	0.0000
family	Thermoanaerobacteraceae	186814	4	125	0	91	1.3736	0.0000
family	Psychromonadaceae	267894	4	121	0	117	1.0342	0.0000
family	Colwelliaceae	267889	4	130	1	97	1.3402	0.0000
family	Geodermatophilaceae	85030	4	126	0	61	2.0656	0.0000
family	Rhodobacteraceae	31989	3	92	0	89	1.0337	0.0000
family	Streptomycetaceae	2062	3	91	0	88	1.0341	0.0000
family	Synergistaceae	649777	3	96	0	93	1.0323	0.0000
family	Marinilabiliaceae	558415	3	95	0	92	1.0326	0.0000
genus	Prevotella	838	1875861	124126797	1425854	8313844	14.9301	0.2838
genus	Haemophilus	724	969567	55181420	827747	2065228	26.7193	0.1467
genus	Veillonella	29465	845639	52694393	790459	1462131	36.0394	0.1279
genus	Porphyromonas	836	587365	35565451	587090	625775	56.8342	0.0889
genus	Fusobacterium	848	492192	26749399	363059	938124	28.5137	0.0745
genus	Alloprevotella	1283313	360078	24107412	644765	1187005	20.3094	0.0545
